id,beskrivelse,kode,kodenr_delete,art,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,kodenr,fiscal_year
807,ordrelistevisning,ordrer,,OLV,,../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordre nr..,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,ordrenr desc,"


42784441


",",,,,,on,,",,,,,74,0
830,ordrelistevisning,faktura,,OLV,"240200,240199,240198,240197,240195,240194,240193,240192,240191,240190,240189,240188,240187,240185,240183,240181,240180,240178,240177,240176,240174,240173,240172,240171,240169,240165,240164,240163,240157,240156,240155,240152,240151,240150,240149,240148,240147,240146,240145,240144,240143,240142,240141,240140,240139,240138,240137,240136,240135,240133,240132,240131,240129,240128,240127,240125,240126,240124,240123,240121,240122,240120,240119,240118,240117,240116,240115,240114,240113,240110,240112,240109,240111,240108,240107,240106,240105,240102,240101,240099,240098,240097,240096,240095,240094,240093,240092,240091,240090,240089,240088,240087,240086,240085,240084,240083,240082,240081,240080",../index/menu.php,"ordrenr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum","50,100,100,100,100,150,100,100,100","right,left,right,left,left,left,left,left,right","Ordre nr.,Ordredato,Fakt.nr.,Fakt.dato.,Genfakt.,Kontonr,Firmanavn,Sælger,Fakturasum",100,ordrenr desc,"







",",,,,,,,on,,",,,,,78,0
906,ordrelistevisning,ordrer,,OLV,"241880,241879,241874,241872,241871,241870,241855,241854,241851,241849,241847,241845,241843,241832,241813,241809,241808,241799,241782,241765,241753,241752,241749,241748,241746,241742,241740,241738,241727,241717,241714,241712,241642,241619,241610,241609,241607,241606,241600,241590,241588,241587,241586,241585,241584,241583,241581,241580,241571,241570,241568,241567,241545,241532,241528,241518,241482,241475,241458,241453,241440,241438,241437,241430,241416,241412,241387,241380,241379,241371,241366,241332,241330,241329,241302,241290,241289,241273,241270,241260,241225,241221,241217,241206,241201,241200,241198,241196,241164,241161,241159,241113,241112,241108,241099,241096,241094,241056,241054",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordre nr..,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,,"





",",,,,,on,,",,,,,84,0
489,Ordrelistevisning,ordrer,36,OLV,233539,../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum",",100,100,100,150,100,100","right,left,left,left,left,left,right","Ordrenr.,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,ordrenr desc,"


42263041


",",,,,,on,,",,,,,36,0
827,ordrelistevisning,ordrer,,OLV,,../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordre nr..,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,ordrenr desc,"30253





",",,,,,on,,",,,,,78,0
880,ordrelistevisning,faktura,,OLV,"239476,239474,239473,239471,239470,239468,239467,239466,239465,239463,239462,239460,239459,239454,239453,239452,239449,239447,239446,239445,239444,239443,239442,239441,239440,239439,239438,239437,239436,239435,239432,239430,239429,239428,239427,239426,239425,239424,239421,239423,239420,239419,239417,239418,239416,239415,239414,239412,239411,239410,239409,239408,239407,239406,239405,239404,239403,239402,239401,239400,239399,239398,239397,239396,239395,239394,239393,239392,239391,239390,239389,239388,239387,239385,239384,239383,239382,239380,239379,239378,239377,239376,239375,239374,239373,239372,239371,239370,239369,239368,239367,239366,239365,239364,239363,239362,239361,239360,239359",../index/menu.php,"ordrenr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum",",100,100,100,100,150,100,100,100","right,left,right,left,left,left,left,left,right","Ordre,Ordredato,Fakt.nr.,Fakt.dato.,Genfakt.,Kontonr,Firmanavn,Sælger,Fakturasum",100,,"







",",,,,,,,on,,",,,,,80,0
383,Ordrelistevisning,faktura,39,OLV,209319,../index/menu.php,"ordrenr,kundeordnr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum",",0,100,100,100,100,150,100,100,100","right,left,left,right,left,left,left,left,left,right","Ordrenr.,Internet,Ordredato,Fakt.nr.,Fakt.dato,Genfakt.,Kontonr.,Firmanavn,Sælger,Fakturasum",100,ordrenr desc,"





29466912


",",,,,,,,,on,,",,,,,39,0
223,Ordrelistevisning,faktura,7,OLV,"7975,39204,19454,29888,20672,26795,20924,33708,23410,13455,23502,16506,10073,9448,35664,23702,23550,34290,160,13829,37264,37239,34106,24452,38483,28375,25345,38144,34933,23971,35847,24023,38200,26666,37137,31855,38420,35572,37737,24440,38661,28248,28971,25591,31720,24128,22784,24882,38431,29980,9925,22855,25281,37611,23143,29601,36176,26838,34687,36082,37121,33360,37805,32134,27961,27481,33396,38541,23562,32769,35813,39354,10742,21207,27143,36955,37023,16261,27635,24230,14772,17533,20657,17979,37533,23230,31522,35996,20944,4882,6659,7174,7468,7478,31765,19170,5870,8757",../index/menu.php,"ordrenr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum","50,100,100,100,100,150,100,100,100","right,left,right,left,left,left,left,left,right","Ordrenr.,Ordredato,Fakt.nr.,Fakt.dato,Genfakt.,Kontonr.,Firmanavn,S&aelig;lger,Fakturasum",100,,"







",",,,,,,,,,",,,,,7,0
499,Ordrelistevisning,ordrer,56,OLV,"153962,153956,153945,153943,153940,153922,153921,153920,153919,153910,153909,153907,153906,153903,153896,153887,153875,153871,153866,153853,153838,153837,153833,153830,153829,153825,153824,153822,153812,153791,153788,153774,153759,153755,153742,153735,153734,153733,153729,153712,153701,153688,153682,153679,153671,153655,153648,153632,153631,153630,153629,153628,153624,153600,153599,153597,153596,153595,153590,153586,153585,153584,153583,153558,153551,153547,153545,153537,153531,153530,153505,153502,153501,153498,153496,153494,153482,153456,153455,153453,153447,153434,153429,153413,153407,153405,153394,153392,153391,153390,153365,153359,153352,153329,153320,153319,153317,153308",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordrenr.,Ordredato,Levdato,Kontonr.,Firmanavn,S&aelig;lger,Ordresum",100,ordrenr desc,"





",",,,,,on,,",,,,,56,0
467,ordrelistevisning,faktura,51,OLV,256008,../index/menu.php,"ordrenr,kundeordnr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum_m_moms",",50,100,100,100,100,150,100,100,100","right,left,left,right,left,left,left,left,left,right","Ordre,internet,Ordredato,Fakt.nr.,Fakt.dato.,Genfakt.,Kontonr,Firmanavn,Sælger,Fakturasum",100,ordrenr desc,"


174726





",",,,,,,,,,,",,,,,51,0
239,Ordrelistevisning,faktura,20,OLV,,../index/menu.php,"ordrenr,,kundeordnr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref",",0,0,100,100,100,100,150,100,100","right,left,left,left,right,left,left,left,left,left","Ordrenr.,,Internet,Ordredato,Fakt.nr.,Fakt.dato,Genfakt.,Kontonr.,Firmanavn,Sælger",100,ordrenr desc,"






26828563

",",,,,,,,,,on,",,,,,20,0
798,ordrelistevisning,faktura,,OLV,233910,../index/menu.php,"ordrenr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum","50,100,100,100,100,150,100,100,100","right,left,right,left,left,left,left,left,right","Ordre nr.,Ordredato,Fakt.nr.,Fakt.dato.,Genfakt.,Kontonr,Firmanavn,Sælger,Fakturasum",100,ordrenr desc,"144670







",",,,,,,,on,,",,,,,70,0
878,ordrelistevisning,ordrer,,OLV,"240158,239820,239814,239790,239788,239787,239785,239783,239782,239781,239666,239568,239472,239464,239451,239448",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordre nr..,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,ordrenr desc,"




Noel Frostholm
",",,,,,on,,",,,,,80,0
460,ordrelistevisning,faktura,43,OLV,255936,../index/menu.php,"ordrenr,kundeordnr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum",",0,100,100,100,100,150,100,100,100","right,left,left,right,left,left,left,left,left,right","Ordrenr.,internet,Ordredato,Fakt.nr.,Fakt.dato,Genfakt.,Kontonr.,Firmanavn,Sælger,Fakturasum",100,ordrenr desc,"


174822





",",,,,,,,,on,,",,,,,43,0
