Varenummer;Beskrivelse;Salgspris;Kostpris;"Vejl. pris";Enhed;Nettovægt;Bruttovægt;"L x B x H";Stykliste;Varegruppe
300842;"Boston lys grå Freya sæt 90x150-200 m/ 4 stk. stabelstole antracit";3.599,20;1.535,06;11.195,00;Sæt;0.000;0.000;;"4696205(1.000); 16449(4.000)";69
300841;"Boston lys grå Paris sæt 90x200-280 m/ 6 stk. Paris grå";7.199,20;2.909,77;18.993,00;Sæt;0.000;0.000;;"4696285(1.000); 629987(6.000)";69
300863;"Boston mørk grå Bora sæt 90x200-280 m/ 6 stk.Bora antracit";5.599,20;2.110,44;14.193,00;Sæt;0.000;0.000;;"4696288(1.000); 4024202000(6.000)";69
5469LI+5469YSN95;"BREEZE HIGHBACK STOL M. HYNDESÆT LYS GRÅ";5.798,40;3.015,95;0,00;Sæt;0.000;0.000;;"5469LI(1.000); 5469YSN95(1.000)";69
541000U+5417YN116;"CANE-LINE Basket stol Natur inkl. hyndesæt lys brun";3.390,40;1.977,42;5.298,00;Sæt;0.000;0.000;;"541000U(1.000); 5417YN116(1.000)";69
P088CA+5088AL;"CANE-LINE Bord 100x100cm Ceramic Basalt Grey m Pure understel Grey";8.639,20;5.276,45;0,00;Sæt;0.000;0.000;;"P088CA(1.000); 5088AL(1.000)";69
P088CN+5088AL;"CANE-LINE Bord 100x100cm Ceramic Nero Sort m Pure understel Lava Grey";8.639,20;5.314,89;0,00;Sæt;0.000;0.000;;"P088CN(1.000); 5088AL(1.000)";69
P088CB+5088AL;"CANE-LINE Bord 100x100cm Concrete Grey m Pure understel Lava Grey";8.639,20;4.988,45;0,00;Sæt;0.000;0.000;;"P088CB(1.000); 5088AL(1.000)";69
P091CA+5085AL;"CANE-LINE Bord 100x200cm Ceramic Basalt Grey m Pure understel Lava Grey";11.839,20;7.152,36;0,00;Sæt;0.000;0.000;;"P091CA(1.000); 5085AL(1.000)";69
5085AL+P091CN;"CANE-LINE Bord 100x200cm Ceramic Nero Sort m Pure understel Lava Grey";11.839,20;7.042,01;0,00;Sæt;0.000;0.000;;"5085AL(1.000); P200x100CN(1.000)";69
P150X90CB+5080AL;"CANE-LINE Bord 90x150cm Ceramic Concrete Grey m Pure understel Lava Grey";10.111,20;6.337,87;0,00;Sæt;0.000;0.000;;"P150X90CB(1.000); 5080AL(1.000)";69
300512;"CANE-LINE Chaiselounge sofa Taupe incl. hvide hynder";15.999,20;10.155,52;33.597,00;Sæt;0.000;0.000;;"5498YS94(2.000); 5596YS94(1.000); 5593T(1.000); 5596T(1.000)";69
300513;"CANE-LINE Connect 3 pers. sofa taupe DEMO";14.400,00;9.816,00;20.799,00;Sæt;0.000;0.000;;"5592T(1.000); 5592YS95(1.000)";69
5592T+5592YS95;"CANE-LINE Connect 3 pers. sofa Taupe incl. grå hynde";13.999,20;9.816,00;20.799,00;Sæt;0.000;0.000;;"5592T(1.000); 5592YS95(1.000)";69
300514;"CANE-LINE Connect 5 pers. Hjørnesofa  DEMO";28.000,00;17.642,20;39.996,00;Sæt;0.000;0.000;;"5595T(1.000); 5595YS95(1.000); 5593T(1.000); 5594T(1.000); 5498YS95(4.000)";69
5498T+5498YS97;"CANE-LINE Connect enkelt modul Taupe incl.hynde taupe";6.463,36;3.325,56;10.099,00;Sæt;0.000;0.000;;"5498T(1.000); 5498YS97(1.000)";69
5398T+5398YS97;"CANE-LINE Connect Fodskammel Taupe m/ hynde Taupe";4.319,20;1.560,32;2.499,00;Sæt;0.000;0.000;;"5398T(1.000); 5398YS97(1.000)";69
300487;"Cane-line Connect loungestol m/grå hynder natte - DEMO";5.600,00;3.555,31;10.099,00;Sæt;0.000;0.000;;"5499T(1.000); 5498YS95(1.000)";69
5499T+5498YS97;"CANE-LINE Connect loungestol taupe m/ taupe hynder";8.319,20;3.533,64;10.999,00;Sæt;0.000;0.000;;"5499T(1.000); 5498YS97(1.000)";69
300488;"Cane-line Connect venstre sofa chaiselong m/taupe hynder natte - DEMO";20.000,00;12.283,08;33.597,00;Sæt;0.000;0.000;;"5596YS97(1.000); 5596T(1.000); 5593T(1.000); 5498YS97(2.000)";69
P144COG+50202AI;"CANE-LINE Joy Spisebord Keramik fossil grey /alu stel light grey";17.799,20;10.679,52;0,00;Sæt;0.000;0.000;;"P144COG(1.000); 50202AI(1.000)";69
P144GT+50202AL;"CANE-LINE Joy Spisebord Keramik Geometrisk Teak /alu stel lava grå";14.799,20;8.879,52;0,00;Sæt;0.000;0.000;;"P144GT(1.000); 50202AL(1.000)";69
P069TR+5098LT;"Cane-Line Lansing bord m/travertin bordplade Ø120 cm - Taupe";6.799,20;3.615,97;0,00;stk;0.000;0.000;;"5098LT(1.000); P069TR(1.000)";69
P5009T+5009AL;"CANE-LINE LEVEL Sofabord Teak m/ lava stel";7.279,20;4.319,52;0,00;Sæt;0.000;0.000;;"P5009T(1.000); 5009AL(1.000)";69
5417RODG+5417YSN95;"CANE-LINE Ocean stabelbar stol Soft Rope Dark grey incl. Hyndesæt Grey";2.774,40;1.664,64;0,00;Sæt;0.000;0.000;;"5417RODG(1.000); 5417YSN95(1.000)";69
5417ROSA+5417YSN92;"CANE-LINE Ocean stabelbar stol Soft Rope Sand incl. Hyndesæt";2.294,56;1.349,68;3.468,00;Sæt;0.000;0.000;;"5417ROSA(1.000); 5417YSN92(1.000)";69
